Name,Direction,Level,Degree programme,External institutions,Internal institutions,Internal institution short name,Active
Exchange Student-Universidad Nacional Autónoma de México UNAM-Universidad de los Andes-Incoming,Incoming,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Arts Bsc|| Biology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Early Childhood|| Law Bsc|| Systems and Computing Engineering Bsc,Universidad Nacional Autónoma de México,"Anthropology Department, Architecture Department, Art Department, Biological Sciences Department, Biomedical Engineering Department, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, Design Department, Electrical and Electronic Engineering Department, Geosciences Department, History Department, Industrial Engineering Department, International Studies Center, Languages and Culture Department, Mathematics Department, Mechanical Engineering Department, Music Department, Philosophy Department, Physics Department, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Sciences, School of Social Sciences, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, IQUIM, ICYA, IELE, IIND, CEI, IMEC, , ISIS",Yes
Exchange Student-Universidad Nacional Autónoma de México UNAM-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Early Childhood|| Law Bsc|| Systems and Computing Engineering Bsc,Universidad Nacional Autónoma de México,"Anthropology Department, Architecture Department, Art Department, Biological Sciences Department, Biomedical Engineering Department, Center for Journalism Studies, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, Design Department, Electrical and Electronic Engineering Department, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Humanities and Literature Department, Industrial Engineering Department, Languages and Culture Department, Mathematics Department, Mechanical Engineering Department, Music Department, Philosophy Department, Physics Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Sciences, School of Social Sciences, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, CEPER, IQUIM, ICYA, IELE, , IIND, IMEC, ISIS",Yes
Exchange Student-Universidad Nacional Autónoma de México-School of Architecture and Design-Incoming,Incoming,Undergraduate / Bachelor,Architecture Bsc|| Design Bsc,Universidad Nacional Autónoma de México,"Architecture Department, Design Department, School of Architecture and Design, Universidad de Los Andes",,Yes
Exchange Student-Universidad Nacional Autónoma de México-School of Architecture and Design-Outgoing,Outgoing,Undergraduate / Bachelor,Architecture Bsc|| Design Bsc,Universidad Nacional Autónoma de México,"Architecture Department, Design Department, School of Architecture and Design, Universidad de Los Andes",,Yes
Exchange Student-Universidad Nacional de Colombia-School of Engineering-Incoming,Incoming,,,Universidad Nacional de Colombia,"Biomedical Engineering Department, Chemical Engineering Department, Civil and Environmental Engineering Department, Electrical and Electronic Engineering Department, Industrial Engineering Department, Mechanical Engineering Department, School of Engineering, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, IQUIM, ICYA, IELE, IIND, IMEC, , ISIS",Yes
Exchange Student-Universidad Nacional de Colombia-School of Engineering-Outgoing,Outgoing,,Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc|| Systems and Computing Engineering Bsc,Universidad Nacional de Colombia,"Biomedical Engineering Department, Chemical Engineering Department, Civil and Environmental Engineering Department, Electrical and Electronic Engineering Department, Industrial Engineering Department, Mechanical Engineering Department, School of Engineering, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, IQUIM, ICYA, IELE, IIND, IMEC, , ISIS",Yes
Exchange Student-Universidad Nacional de Colombia-Universidad de los Andes-Incoming,Incoming,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc,Universidad Nacional de Colombia,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Student-Universidad Nacional de Colombia-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc,Universidad Nacional de Colombia,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Student-Universidad Nacional del Litoral-School of Sciences-Incoming,Incoming,Undergraduate / Bachelor,,Universidad Nacional del Litoral,"Biological Sciences Department, Chemistry Department, Geosciences Department, Mathematics Department, Physics Department, School of Sciences, Universidad de Los Andes",,Yes
Exchange Student-Universidad Nacional del Litoral-School of Sciences-Outgoing,Outgoing,,Biology Bsc|| Microbiology Bsc|| Chemistry Bsc|| Geosciences Bsc|| Mathematics Bsc|| Physics Bsc,Universidad Nacional del Litoral,"Biological Sciences Department, Chemistry Department, Geosciences Department, Mathematics Department, Physics Department, School of Sciences, Universidad de Los Andes",,Yes
Exchange Student-Universidad ORT-Design Department-Incoming,Incoming,"Undergraduate / Bachelor, Postgraduate / Master",,Universidad ORT,"Design Department, School of Architecture and Design, Universidad de Los Andes",,Yes
Exchange Student-Universidad ORT-Design Department-Outgoing,Outgoing,"Undergraduate / Bachelor, Postgraduate / Master",Design Bsc|| Master in Design,Universidad ORT,"Design Department, School of Architecture and Design, Universidad de Los Andes",,Yes
Exchange Student-Universidad ORT-School of Economics-Incoming,Incoming,Undergraduate / Bachelor,,Universidad ORT,"CEDE, Centro de Estudios sobre Seguridad y Drogas - CESED, School of Economics, Universidad de Los Andes","CEDE, CESED, ",Yes
Exchange Student-Universidad ORT-School of Economics-Outgoing,Outgoing,,Economics Bsc,Universidad ORT,"CEDE, Centro de Estudios sobre Seguridad y Drogas - CESED, School of Economics, Universidad de Los Andes","CEDE, CESED, ",Yes
Exchange Student-Universidad ORT-Universidad de los Andes-Incoming,Incoming,Undergraduate / Bachelor,Architecture Bsc|| Arts Bsc|| Biomedical Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Economics Bsc|| Systems and Computing Engineering Bsc,Universidad ORT,"Architecture Department, Art Department, Biomedical Engineering Department, Design Department, Electrical and Electronic Engineering Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Engineering, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, IELE, , ISIS",Yes
Exchange Student-Universidad Peruana de Ciencias Aplicadas-Universidad de los Andes-Incoming,Incoming,Undergraduate / Bachelor,Architecture Bsc|| Arts Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Music Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Early Childhood|| Law Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc,Universidad Peruana de Ciencias Aplicadas,"Architecture Department, Art Department, Biomedical Engineering Department, Center for Journalism Studies, Civil and Environmental Engineering Department, Design Department, Electrical and Electronic Engineering Department, Industrial Engineering Department, Music Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Engineering, School of Law, School of Social Sciences, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, CEPER, ICYA, IELE, IIND, , ISIS",Yes
Exchange Student-Universidad Peruana de Ciencias Aplicadas-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Architecture Bsc|| Arts Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Music Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Early Childhood|| Law Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc,Universidad Peruana de Ciencias Aplicadas,"Architecture Department, Art Department, Center for Journalism Studies, Civil and Environmental Engineering Department, Design Department, Electrical and Electronic Engineering Department, Industrial Engineering Department, Music Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Social Sciences, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","CEPER, ICYA, IELE, IIND, , ISIS",Yes
Exchange Student-Universidad Rey Juan Carlos-School of Engineering-Incoming,Incoming,Undergraduate / Bachelor,Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Electrical Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc|| Systems and Computing Engineering Bsc,Universidad Rey Juan Carlos,"Biomedical Engineering Department, Chemical Engineering Department, Civil and Environmental Engineering Department, Electrical and Electronic Engineering Department, Industrial Engineering Department, Mechanical Engineering Department, School of Engineering, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, IQUIM, ICYA, IELE, IIND, IMEC, , ISIS",Yes
Exchange Student-Universidad Rey Juan Carlos-School of Engineering-Outgoing,Outgoing,Undergraduate / Bachelor,Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Electrical Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc|| Systems and Computing Engineering Bsc,Universidad Rey Juan Carlos,"Biomedical Engineering Department, Chemical Engineering Department, Civil and Environmental Engineering Department, Electrical and Electronic Engineering Department, Industrial Engineering Department, Mechanical Engineering Department, School of Engineering, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, IQUIM, ICYA, IELE, IIND, IMEC, , ISIS",Yes
Exchange Student-Universidad Santo Tomás-Universidad de los Andes-Incoming,Incoming,Undergraduate / Bachelor,,Universidad Santo Tomás,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Student-Universidad Santo Tomás-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,,Universidad Santo Tomás,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Student-Universidad Sergio Arboleda-Industrial Engineering Department-Incoming,Incoming,Undergraduate / Bachelor,Industrial Engineering Bsc,Universidad Sergio Arboleda,"Industrial Engineering Department, School of Engineering, Universidad de Los Andes","IIND, ",Yes
Exchange Student-Universidad Sergio Arboleda-Industrial Engineering Department-Outgoing,Outgoing,Undergraduate / Bachelor,Industrial Engineering Bsc,Universidad Sergio Arboleda,"Industrial Engineering Department, School of Engineering, Universidad de Los Andes","IIND, ",Yes
Exchange Student-Universidad Tecnológica de Bolivar-Universidad de Los Andes-Incoming,Incoming,Undergraduate / Bachelor,Architecture Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc|| Philosophy Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc,Universidad Tecnológica de Bolivar,"Architecture Department, Biomedical Engineering Department, CEDE, Center for Journalism Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Civil and Environmental Engineering Department, Electrical and Electronic Engineering Department, Government School Alberto Lleras Camargo, Industrial Engineering Department, International Studies Center, Mechanical Engineering Department, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Engineering, School of Law, School of Social Sciences, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, CEDE, CEPER, CESED, IQUIM, ICYA, IELE, , IIND, CEI, IMEC, ISIS",Yes
Exchange Student-Universidad Tecnológica de Bolivar-Universidad de Los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Architecture Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc|| Philosophy Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc,Universidad Tecnológica de Bolivar,"Architecture Department, Biomedical Engineering Department, CEDE, Center for Journalism Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Civil and Environmental Engineering Department, Electrical and Electronic Engineering Department, Government School Alberto Lleras Camargo, Industrial Engineering Department, International Studies Center, Mechanical Engineering Department, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Engineering, School of Law, School of Social Sciences, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, CEDE, CEPER, CESED, IQUIM, ICYA, IELE, , IIND, CEI, IMEC, ISIS",Yes
Exchange Student-Universidad Torcuato di Tella-School of Social Sciences-School of Law-Incoming,Incoming,"Undergraduate / Bachelor, Postgraduate / Master",Architecture Bsc|| Design Bsc|| History Bsc|| Political Science Bsc|| Master in International Studies|| Master in Political Science,Universidad Torcuato di Tella,"Architecture Department, Design Department, History Department, International Studies Center, Political Sciences Department, School of Architecture and Design, School of Law, School of Social Sciences, Universidad de Los Andes","CEI, ",Yes
Exchange Student-Universidad Torcuato di Tella-School of Social Sciences-School of Law-Outgoing,Outgoing,Undergraduate / Bachelor,Political Science Bsc|| Law Bsc,Universidad Torcuato di Tella,"Anthropology Department, History Department, International Studies Center, Languages and Culture Department, Philosophy Department, Political Sciences Department, Psychology Department, School of Law, School of Social Sciences, Universidad de Los Andes","CEI, ",Yes
Exchange Student-Universidade Católica Portuguesa School of Law-School of Law-Incoming-BORRAR,Incoming,,Law Bsc,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics, Universidade Católica Portuguesa - School of Law","School of Law, Universidad de Los Andes",,Yes
Exchange Student-Universidade Católica Portuguesa School of Law-School of Law-Outgoing-BORRAR,Outgoing,,Law Bsc,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics, Universidade Católica Portuguesa - School of Law","School of Law, Universidad de Los Andes",,Yes
Exchange Student-Universidade Católica Portuguesa-School of Law-Incoming,Incoming,Undergraduate / Bachelor,Law Bsc,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics, Universidade Católica Portuguesa - School of Law","School of Law, Universidad de Los Andes",,Yes
Exchange Student-Universidade Católica Portuguesa-School of Law-Outgoing,Outgoing,Undergraduate / Bachelor,Law Bsc,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics, Universidade Católica Portuguesa - School of Law","School of Law, Universidad de Los Andes",,Yes
Exchange Student-Universidade Católica Portuguesa-School of Management-Incoming,Incoming,Undergraduate / Bachelor,Administration Bsc,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics","School of Management, Universidad de Los Andes",,Yes
Exchange Student-Universidade Católica Portuguesa-School of Management-Outgoing,Outgoing,Undergraduate / Bachelor,Administration Bsc,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics, Universidade Católica Portuguesa - School of Law","School of Management, Universidad de Los Andes",,Yes
Exchange Student-Universidade de Brasilia-Universidad de los Andes-Incoming,Incoming,,,Universidade de Brasilia (UnB),"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
